id_question,category,question,annotated_answer
T_f1,Transparency,Does the policy clearly outline data collection practices?,"Yes, Uber's policy clearly outlines its data collection practices. The policy specifies the types of data it collects from users, including contact information, user content, and information related to the use of its apps, websites, features, or other services. This also includes data collected from individuals who start but do not complete their applications to be drivers or delivery persons. The policy mentions that this notice applies to all users of Uber's services globally. Part 1"
T_f2,Transparency,What is the company’s stance on government requests for user data?,"
Uber's privacy policy does not specifically mention a government data access policy that refuses government access to data, except when required by law or in cases of imminent risk. However, it does state that Uber may share your information ""With law enforcement officials, government authorities, or other third parties if we believe your actions are inconsistent with our User agreements, Terms of Service, or policies, or to protect the rights, property, or safety of Uber or others"". Reference Part 1"
T_f3,Transparency,How does the privacy policy address potential conflicts of interest in data usage or sharing?,"The policy explicitly states that Uber shares user data when necessary to enforce its terms of service, user agreements, or other policies, or to protect Uber's rights or property. This includes dealing with law enforcement, public health officials, other government authorities, and airports. This is done to maintain their services' integrity, safeguard their business interests, and protect users and the community. However, it's important to note that while the policy mentions these general conditions for data sharing, it does not elaborate on how potential conflicts of interest in data usage or sharing are specifically addressed.Part 4"
T_u1,Transparency,What sort of data is collected from me while using this?,"Data Provided by You:

User Profile Information: Your name, email, phone number, login credentials, address, profile picture, payment or banking information. For drivers, this extends to driver's license, vehicle, insurance, and health data.
Background Check Information: For drivers and delivery persons, this includes driving history and criminal record.
Identity Verification Photos: Photos for identity verification.
Demographic Data: Your birth date, gender, occupation.
User Content: Data submitted to Uber customer support or feedback.
Data Created During Use of Services:

Location Data: Your location when the Uber app is running.
Transaction Information: Details of your Uber transactions.
Usage Data: How you interact with the Uber app.
Device Data: Information about your device, like model and operating system.
Communications Data: Details of communications within the Uber platform.
Data from Other Sources:

Includes information from referral programs, account owners who request services for others, claims or disputes, business partners, vendors, insurance and financial service providers, transportation partners, public sources, marketing services, and government authorities."
UC_f1,User Control,Are users given control over their data and privacy settings?,"Uber provides its users with control over their data and privacy settings through the Uber app. Users can manage these settings under Settings > Privacy in the app. Key controls include:

Location Data Collection and Sharing: Riders and order recipients can choose to enable or disable Uber's access to their location data through their mobile device settings, which are accessible via the app. Additionally, riders have the option to decide if they want to share their real-time location data with their drivers.

Emergency Data Sharing: Uber offers a feature for riders to opt-in or opt-out of sharing real-time location data with emergency services such as police, fire, and ambulance. This data may include the rider's approximate location during an emergency call, car details, personal information, and pickup and dropoff locations, as well as driver details. This feature is managed through the app's Safety Center.

Driver and Delivery Person Settings: Drivers and delivery persons also have the option to enable or disable the emergency data sharing feature through their app settings."
UC_f2,User Control,Are there clear mechanisms for users to request data deletion or access?,"Yes, Uber provides clear mechanisms for users to request data deletion or access. Users can access and control their data through privacy settings, device permissions, in-app ratings pages, and marketing choices. They can also request access to or copies of their data, make changes or updates to their accounts, request deletion of their accounts, or request that Uber restrict its processing of user data. The deletion of user accounts and data can be requested at any time through the Uber app's settings and privacy menus or through Uber's website. However, Uber might retain user data after a deletion request due to legal or regulatory requirements, safety, security, and fraud prevention purposes, or due to unresolved issues related to the user's account. For riders and order recipients, their data is generally deleted within 90 days of a deletion request, except where retention is necessary. Part 5 "
UC_f3,User Control,How does the company manage consent and withdrawal of consent from users?,"Uber enables its users to manage their consent and withdrawal of consent through various settings and options. This includes privacy settings in the Uber app that allow users to manage how Uber collects and uses their data. Further, users can control the data Uber has access to through the permission settings on their device. For instance, users can decide whether Uber can access their location data, contacts, photos, and more. In addition, the in-app ratings pages let users control the sharing of their ratings and feedback. Uber also provides options to opt out of receiving promotional emails or messages for marketing purposes. Finally, Uber allows users to request access to their data, make changes or updates to their accounts, request deletion of their accounts, or request that Uber restrict its processing of user data. Thus, Uber provides various avenues for users to manage and withdraw their consent. Part 4"
UC_u1,User Control,Can i opt out of letting them collect data and still use the app?,Not mentioned explicitly in policy. Reference :N/A
DM_f1,Data Minimization and Purpose Limitation,Does the company minimize data retention periods?,"No, According to Uber's privacy policy, they retain user data for as long as necessary to fulfill the purposes for which it was collected. The length of time that data is kept depends on the type of data, the category of user, and the purposes for which the data was collected. Further factors that may influence data retention include legal and regulatory requirements, purposes of safety, security, and fraud prevention, or issues relating to the user's account such as an outstanding credit or an unresolved claim or dispute. Part 5"
DM_f2,Data Minimization and Purpose Limitation,How is user data anonymized or aggregated to protect individual privacy?,"Uber's policy does not detail specific procedures for anonymizing or aggregating user data to protect individual privacy. It mentions measures like encryption and pseudonymization as part of their broader data protection strategies, but it doesn't outline how these practices are specifically applied to the anonymization or aggregation of user data. Part 1"
DM_f3,Data Minimization and Purpose Limitation,Are there any restrictions on data processing for specific purposes or contexts?,Not mentioned explicitly in policy. Reference :N/A
DM_u1,Data Minimization and Purpose Limitation,How long is my data stored?,"According to Uber's privacy policy, they retain user data for as long as necessary to fulfill the purposes for which it was collected. The length of time that data is kept depends on the type of data, the category of user, and the purposes for which the data was collected. Further factors that may influence data retention include legal and regulatory requirements, purposes of safety, security, and fraud prevention, or issues relating to the user's account such as an outstanding credit or an unresolved claim or dispute. Part 5"
SE_f1,Security and Encryption,Are user communications encrypted end-to-end?,"Uber does not mention the use of end-to-end encryption specifically. It only states that they employ robust data protection measures, which include the use of encryption and pseudonymization to protect users' data from unauthorized access or disclosure. However, this does not necessarily mean they use end-to-end encryption for communications.Part 1"
SE_f2,Security and Encryption,What measures are in place to prevent unauthorized access to user data?,"
Yes, Uber's privacy policy does mention robust protection of data while in transit and when processed on their servers. They mention the use of encryption and pseudonymization as measures taken to protect users' identities from unauthorized disclosure. Reference Part 1"
SE_f3,Security and Encryption,How are data breaches or security incidents handled and communicated to users?,Not mentioned explicitly in policy. Reference :N/A
SE_u1,Security and Encryption,How well secured is my private information?,"Uber's policy does not detail specific procedures for anonymizing or aggregating user data to protect individual privacy. It mentions measures like encryption and pseudonymization as part of their broader data protection strategies, but it doesn't outline how these practices are specifically applied to the anonymization or aggregation of user data. Part 1"
PD_f1,Privacy by Design and Innovation,Does the company conduct privacy impact assessments?,Not mentioned explicitly in policy. Reference :N/A
PD_f2,Privacy by Design and Innovation,"Are there privacy-enhancing technologies implemented, such as differential privacy?",Not mentioned explicitly in policy. Reference :N/A
PD_f3,Privacy by Design and Innovation,"Does the company use automated decision-making or profiling, and if so, how does it impact user privacy?","Yes, Uber does use automated decision-making or profiling. The impact on user privacy revolves mainly around personalized marketing and advertising. The company uses user data to create tailored marketing communications, Uber ads, restaurant and merchant ads, and third party ads. This is based on observed or inferred user interests and characteristics. However, Uber provides users with the choice to control the use of their data for these purposes, mitigating potential privacy concerns.

Reference (Part 6 of the policy)"
PD_u1,Privacy by Design and Innovation,What sort of analytics will my data be subjected to?," Uber uses cookies and similar technologies for purposes such as: authenticating users remembering user preferences and settings determining the popularity of content delivering and measuring the effectiveness of advertising campaigns analyzing site traffic and trends, and generally understanding the online behaviors and interests of people who interact with our services We may also allow others to provide audience measurement and analytics services for us, to serve advertisements on our behalf across the internet, and to track and report on the performance of those advertisements."
RC_f1,Responsiveness and Communication,Is the privacy policy regularly updated and communicated to users?,"Yes, the privacy policy is regularly updated, and these updates are communicated to users. If significant changes are made, Uber will notify users in advance through the Uber apps or other means, such as email. Users are also encouraged to periodically review the privacy notice for the latest information on Uber's privacy practices. If users continue to use Uber's services after an update, it constitutes their consent to the updated notice, as far as permitted by law. (ChatGPT: P6)"
RC_f2,Responsiveness and Communication,Is there a process in place to address user privacy complaints?,"Yes, there is a process in place to address user privacy complaints. Users can request that Uber stops using all or some of their data, or limits its use. They can object to Uber's use of their data based on Uber's legitimate interests. Despite such objections or requests, Uber may continue to process data as required or permitted by law. Moreover, depending on their location, users may have the right to file a complaint about Uber's handling of their data with the data protection authority in their country. This is particularly noted for users in the European Union and South America. (ChatGPT: P6)"
RC_f3,Responsiveness and Communication,"Does the company publish transparency reports detailing government data requests, surveillance, or law enforcement interactions?",Not mentioned explicitly in policy. Reference :N/A
RC_u1,Responsiveness and Communication,Has there ever been a security breach?,Not mentioned explicitly in policy. Reference :N/A
AEE_f1,"Accessibility, User Education and Empowerment",Are employees trained on data privacy best practices and handling sensitive information?,"
Uber's privacy policy does not specifically mention any training of personnel responsible for managing personal data. Reference Part 1"
AEE_f2,"Accessibility, User Education and Empowerment",How are user data privacy preferences managed across different devices or platforms?,"Uber's privacy policy mentions privacy settings menu in the Uber app that allows riders and order recipients to set or update their preferences regarding location data collection and sharing, emergency data sharing, and notifications. Privacy Center is also available in web version. Location data collection (riders and order recipients) Riders and order recipients can enable/disable Uber to collect location data from their mobile devices through their device settings, which can be accessed via the Settings Privacy Location menu. Reference: Part 5"
AEE_f3,"Accessibility, User Education and Empowerment","Does the company offer user-friendly resources, such as tutorials or guides, to help users effectively manage their privacy settings and understand their data rights?","Yes, Uber offers user-friendly resources to help users manage their privacy settings and understand their data rights. They enable users to access and control data through privacy settings, device permissions, in-app ratings pages, and marketing choices. Users can also request access to or copies of their data, make changes or updates to their accounts, request deletion of their accounts, or request that Uber restrict its processing of user data. The Settings Privacy menu in the Uber app allows users to set or update their preferences regarding data collection and sharing, and notifications. Moreover, Uber's Privacy Center is available in a web version, and Uber offers ways for users to learn about, control, and submit questions and comments about how Uber handles their data. Users can access their profile data and trip or order history through the Uber apps or via Uber's website. (ChatGPT: P6)"
AEE_u1,"Accessibility, User Education and Empowerment",Does it share any data with a third party?,"Yes, Uber does share data with third parties in various scenarios:

With Other Users: Riders' names, ratings, and locations are shared with drivers and other riders in carpool trips. Drivers and delivery persons' details like name, photo, vehicle information, location, ratings, and feedback are shared with riders and order recipients.

At User's Request: Uber may share data like ETA, location, or trip information with friends or business partners at the user’s request, such as for fare splitting or services requested through third-party partnerships.

Emergency Services: Users can share their data with emergency services like police, fire, and ambulance through specific features in emergencies or incidents.

With the General Public: User comments or questions on public forums like Uber blogs or social media may be publicly viewable.

With the Uber Account Owner: Data can be shared with the account owner, like in cases where a rider uses an Uber for Business profile.

With Uber Subsidiaries and Affiliates: Data is shared within Uber’s corporate family for operational purposes.

With Service Providers and Business Partners: Uber shares data with third parties like payment processors, background check providers, and marketing or research partners.

For Legal Reasons or in Disputes: Data may be shared with law enforcement, government authorities, or other third parties for legal processes, safety concerns, or in disputes.

With Consent: Uber may share data in other ways with user notification and consent."
CA_f1,Compliance and Accountability,Does the policy comply with applicable privacy laws and regulations?,"Yes, Policy states that Uber transfers data based on agreements with users, user instructions or prior consent, adequacy decisions for relevant countries, or other mechanisms as may be available under applicable law. Furthermore, they may also transfer data to other countries to respond to requests from law enforcement agencies. This suggests that Uber's policy is designed to comply with applicable privacy laws and regulations.(ChatGPT: P1)"
CA_f2,Compliance and Accountability,What steps are taken to ensure data processors and subprocessors adhere to privacy requirements?,Not mentioned explicitly in policy. Reference :N/A
CA_f3,Compliance and Accountability,"Does the company have a process in place for reporting and addressing privacy violations or non-compliance issues, both internally and with third-party vendors?","Uber's privacy policy allows users to request the cessation or limitation of their data usage, including objecting to data use based on Uber's legitimate interests. Despite these objections, Uber may continue processing data as required or permitted by law. Users have the right to file complaints about Uber's data handling with their country's data protection authority. In the European Union and South America, users may submit requests to local data protection authorities, while in the U.S., users can request a review of Uber's decisions regarding their data requests.

However, the policy does not explicitly mention a specific process for reporting and addressing privacy violations or non-compliance issues, either within the company or with third-party vendors. "
CA_u1,Compliance and Accountability,Do I have any rights as far as whether I want my account info deleted?,"Yes, you have the right to request the deletion of your account information from Uber. When you make such a request, Uber will delete your account and associated data. However, there are certain conditions under which they may retain some of your data:

Legal or Regulatory Requirements: If there are any laws or regulations that require Uber to keep certain data, they will retain it as necessary.
Safety, Security, and Fraud Prevention: For the purposes of ensuring safety, security, and preventing fraud, Uber may hold onto certain data.
Outstanding Issues: If there are any unresolved issues related to your account, such as outstanding credits, claims, or disputes, Uber may retain relevant data until these issues are resolved."
