Questions,Spotify,Uber,Twitter,Facebook,Airbnb
AEE_f1,8.2,10,10,8.65,9.55
AEE_f2,6.4,10,7.75,5.95,9.55
AEE_f3,3.7,7.75,7.75,5.95,9.55
AEE_u1,7.75,8.2,8.2,3.7,9.55
CA_f1,7.75,9.1,7.75,5.95,8.65
CA_f2,5.05,1,8.65,9.55,9.55
CA_f3,3.7,6.4,10,8.65,9.55
CA_u1,6.85,10,8.2,3.7,9.55
DM_f1,8.2,9.55,6.4,9.1,9.55
DM_f2,9.55,9.55,6.4,5.95,9.55
DM_f3,1,9.1,8.2,5.5,9.55
DM_u1,8.2,4.15,7.3,7.75,9.55
PD_f1,10,10,10,10,10
PD_f2,8.2,10,10,4.15,10
PD_f3,3.7,1,9.1,5.95,7.3
PD_u1,7.75,8.65,7.3,9.55,9.55
RC_f1,8.65,8.2,9.55,9.55,9.55
RC_f2,9.1,9.1,7.75,7.3,7.75
RC_f3,3.7,8.2,5.95,5.95,7.3
RC_u1,10,6.85,4.6,2.35,2.35
SE_f1,2.35,9.1,9.55,7.3,8.65
SE_f2,5.05,8.65,8.65,6.85,9.1
SE_f3,8.2,10,9.55,5.95,10
SE_u1,7.3,5.5,7.3,2.35,4.15
T_f1,9.55,9.55,9.55,8.65,7.75
T_f2,9.1,9.55,9.1,3.7,7.3
T_f3,3.7,9.1,3.7,9.55,8.2
T_u1,6.85,9.1,7.3,7.75,8.65
UC_f1,9.1,9.1,9.1,9.55,9.55
UC_f2,9.1,9.1,7.75,9.1,9.1
UC_f3,9.1,9.1,9.1,6.4,6.4
UC_u1,7.3,8.65,2.8,7.75,4.15
