Questions,Spotify,Uber,Twitter,Facebook,Airbnb
AEE_f1,10,9.55,10,10,10
AEE_f2,4.6,8.2,5.5,2.35,7.75
AEE_f3,7.3,1,10,10,10
AEE_u1,7.75,7.75,7.75,10,10
CA_f1,2.35,1,6.4,8.65,10
CA_f2,9.55,10,3.7,7.3,2.8
CA_f3,4.6,1,9.1,10,10
CA_u1,1.9,5.5,7.75,10,10
DM_f1,10,3.7,8.2,9.55,8.2
DM_f2,8.2,3.7,5.5,4.6,7.75
DM_f3,4.6,1,8.2,7.75,5.5
DM_u1,8.2,8.2,8.2,10,5.95
PD_f1,10,9.55,10,10,10
PD_f2,8.2,9.55,10,10,10
PD_f3,10,3.7,10,10,10
PD_u1,10,7.75,7.75,7.75,8.2
RC_f1,10,9.55,8.2,10,6.85
RC_f2,9.55,3.7,7.3,4.6,6.4
RC_f3,4.6,10,10,10,10
RC_u1,10,8.2,10,10,10
SE_f1,10,9.55,10,10,10
SE_f2,10,8.65,9.55,4.6,8.2
SE_f3,10,1,10,10,10
SE_u1,10,8.2,7.3,10,7.3
T_f1,7.3,7.75,8.65,8.2,8.65
T_f2,7.75,7.75,7.75,8.65,6.85
T_f3,4.6,3.7,8.65,5.95,5.5
T_u1,6.85,9.1,7.3,7.75,8.65
UC_f1,7.75,6.4,9.1,10,8.2
UC_f2,7.75,7.75,10,9.55,7.75
UC_f3,7.3,3.7,9.55,7.75,7.75
UC_u1,7.3,8.65,2.8,7.75,4.15
