Questions,Spotify,Uber,Twitter,Facebook,Airbnb
AEE_f1,3.7,3.7,6.4,6.4,6.4
AEE_f2,10,3.7,5.5,6.4,7.75
AEE_f3,8.65,10,5.5,5.95,6.4
AEE_u1,8.2,9.55,10,9.1,9.55
CA_f1,6.4,3.7,7.3,6.85,6.85
CA_f2,9.1,1,5.95,8.2,5.95
CA_f3,7.75,10,5.5,5.95,5.95
CA_u1,7.3,8.2,7.75,7.75,7.75
DM_f1,8.2,9.55,5.5,9.55,9.55
DM_f2,10,7.3,5.95,4.6,4.6
DM_f3,10,1,7.75,6.85,6.4
DM_u1,4.15,4.15,10,10,8.2
PD_f1,3.7,1,4.6,6.4,5.95
PD_f2,5.5,1,5.5,6.4,5.95
PD_f3,3.7,10,5.5,5.5,7.75
PD_u1,7.3,8.2,4.6,8.65,8.2
RC_f1,3.7,10,10,10,7.75
RC_f2,10,9.55,9.1,9.55,9.1
RC_f3,7.75,8.2,5.95,6.4,5.95
RC_u1,8.2,10,2.35,9.1,8.2
SE_f1,8.2,10,6.4,6.4,5.95
SE_f2,7.3,1,4.15,9.1,7.3
SE_f3,1,1,6.85,6.4,6.4
SE_u1,8.2,8.65,4.15,4.15,5.95
T_f1,8.2,8.2,8.2,9.55,9.55
T_f2,8.2,8.2,9.1,9.1,8.2
T_f3,8.2,10,7.3,4.6,5.95
T_u1,8.2,9.55,10,10,9.55
UC_f1,9.1,7.3,9.1,10,10
UC_f2,7.75,7.3,9.55,10,9.55
UC_f3,8.65,7.3,8.2,6.85,9.1
UC_u1,3.7,4.15,4.15,4.6,2.35
