Questions,Spotify,Uber,Twitter,Facebook,Airbnb
AEE_f1,10,7.75,10,10,10
AEE_f2,3.7,8.2,10,10,7.75
AEE_f3,3.7,2.35,7.3,7.75,10
AEE_u1,6.4,6.7,7.75,10,7.75
CA_f1,3.7,2.35,10,9.1,6.4
CA_f2,8.2,10,4.15,9.55,3.7
CA_f3,3.7,2.35,10,10,10
CA_u1,9.7,8.2,8.82,10,10
DM_f1,8.2,6.4,9.1,9.1,10
DM_f2,5.5,7.75,7.3,4.6,9.55
DM_f3,3.7,2.35,5.5,8.65,5.95
DM_u1,7.9,10,10,10,10
PD_f1,10,9.55,10,10,10
PD_f2,10,10,10,10,10
PD_f3,10,3.7,6.85,10,6.4
PD_u1,8.95,10,5.2,7.3,7.75
RC_f1,8.2,2.35,9.1,10,6.85
RC_f2,2.35,2.35,2.8,7.75,9.55
RC_f3,3.7,10,10,10,10
RC_u1,10,10,10,10,10
SE_f1,8.2,7.3,10,10,10
SE_f2,7.75,5.05,9.55,4.6,8.65
SE_f3,10,10,10,10,10
SE_u1,8.2,5.95,8.8,10,10
T_f1,8.2,7.3,2.35,2.35,6.4
T_f2,9.1,6.85,10,9.1,8.65
T_f3,10,1,7.3,4.6,6.85
T_u1,10,9.55,9.55,9.55,9.55
UC_f1,9.55,2.35,10,10,10
UC_f2,8.65,3.7,9.55,10,8.2
UC_f3,6.4,6.4,5.05,4.6,9.55
UC_u1,10,10,10,9.1,7.75
