Questions,Spotify,Uber,Twitter,Facebook,Airbnb
AEE_f1,3.7,1,5.95,6.4,6.4
AEE_f2,9.55,4.15,5.5,5.5,5.95
AEE_f3,7.75,9.55,5.95,6.4,6.4
AEE_u1,7.3,7.45,7.9,8.2,8.5
CA_f1,7.3,7.3,7.3,7.3,5.95
CA_f2,3.7,2.35,6.85,5.95,5.95
CA_f3,3.7,6.85,5.5,6.4,6.4
CA_u1,7.3,6.7,8.2,8.2,7.45
DM_f1,10,4.15,9.55,5.95,7.75
DM_f2,8.2,3.7,5.5,6.4,5.95
DM_f3,1,1,5.5,7.75,6.4
DM_u1,4.15,9.4,8.2,5.65,5.65
PD_f1,1,2.35,5.5,5.95,5.95
PD_f2,3.7,2.8,4.15,5.95,5.95
PD_f3,3.7,6.4,5.5,5.5,5.5
PD_u1,7.45,5.5,6.1,7,8.05
RC_f1,6.4,6.85,5.95,7.75,6.4
RC_f2,10,7.3,4.6,7.3,6.85
RC_f3,6.4,2.35,5.5,6.4,5.95
RC_u1,6.4,4.6,4.6,4.45,6.1
SE_f1,10,8.2,5.95,6.4,4.6
SE_f2,10,5.05,5.5,6.4,5.5
SE_f3,1,2.35,4.15,6.4,5.5
SE_u1,7.45,6.7,6.4,4.45,4.6
T_f1,10,10,6.85,4.6,7.3
T_f2,8.2,2.8,8.65,9.55,8.65
T_f3,1,5.5,5.5,6.4,5.5
T_u1,8.5,7.9,9.1,8.5,9.55
UC_f1,7.3,6.85,7.75,8.2,7.75
UC_f2,7.3,6.85,7.75,7.75,6.4
UC_f3,8.2,6.85,6.85,7.75,6.4
UC_u1,4.6,4.6,6.25,4.6,6.55
